Date,Votes,Clicks,News,Comments,TopVotesId,TopVotesNumber,TopClicksId,TopClicksNumber,TopCommentsId,TopCommentsNumber
2012-11-28,44562,241808,41,3454,1774405,3191,1775618,671,1772541,247
2012-11-27,35677,238685,40,3268,1773246,1671,1774130,397,1765111,243
2012-11-26,28939,182455,30,1769,1772270,2054,1773092,1630,1772293,194
2012-11-25,32093,251288,33,2788,1762048,2821,1772446,2498,1762048,338
2012-11-24,34826,142353,31,2337,1770631,2427,1771778,1609,1769207,203
2012-11-23,31506,228358,34,2230,1770369,2771,1771069,1111,1767877,241
2012-11-22,39554,283697,46,2838,1769042,2189,1770490,582,1769087,171
2012-11-21,58383,400567,58,4242,1767611,2396,1769090,1618,1766888,166
2012-11-20,36892,196062,34,3030,1766484,4019,1767949,370,1763568,192
2013-06-30,24249,203231,27,1755,1957847,4363,1960490,445,1957847,223
2013-09-19,41282,255319,46,3623,2008562,3335,2017452,646,2008562,500
2013-09-18,27013,223399,37,2865,2015728,2101,2016064,279,2012614,337
2013-09-13,30892,179429,34,2956,2012627,2322,2012998,331,2011722,236
2013-09-12,20735,227095,26,1774,2008760,2312,2011866,279,2008760,224
2013-09-11,23107,262011,28,1759,2009308,2222,2011265,1161,2010226,173
2013-09-10,27140,167728,27,2286,2008105,3895,2010207,1302,2008105,340
2013-09-17,26609,242983,33,2160,2014479,2139,2015480,383,2013649,144
2013-09-16,35964,348714,44,3751,2011559,2524,2014572,936,2011559,500
2013-09-15,12122,107126,17,1073,2013493,1631,2013669,833,2013191,123
2013-09-14,11403,121082,17,869,2011917,1973,2013450,810,2011790,137
2013-05-31,25546,207372,34,2333,1935246,1839,1936056,747,1932492,181
2013-05-30,36618,249270,42,3067,1933442,1880,1934579,860,1933625,185
2012-11-16,45986,366399,42,3580,1758861,3621,1765054,1039,1758861,379
2012-11-17,21826,190884,23,1630,1764940,2271,1765987,526,1764940,265
2012-11-14,36506,240535,40,2601,1752977,3885,1763421,719,1759770,201
2012-11-15,37967,328475,35,3193,1763544,2589,1764124,379,1760904,204
2012-11-12,36602,271307,41,3194,1757612,2851,1761310,598,1757581,354
2012-11-13,39072,233406,45,2821,1761149,2032,1762365,673,1759155,181
2012-11-10,19920,165173,24,1543,1759053,1599,1759557,1410,1756918,152
2012-11-11,30107,189652,35,2359,1758569,1886,1760641,753,1758010,181
2013-01-31,45023,260777,46,3442,1828580,1972,1829923,1077,1822086,500
2013-01-30,32959,308294,43,2949,1827503,2205,1828461,442,1825122,231
2012-11-18,19115,156579,22,1508,1765697,3112,1766648,1207,1765697,219
2012-11-19,35441,318017,36,3079,1764907,2369,1767125,247,1765540,207
2013-07-28,16478,152655,19,1034,1980341,2063,1981013,296,1980341,153
2013-07-29,30648,151401,31,2182,1980956,1828,1981503,1292,1975889,178
2013-07-24,38882,297534,43,3388,1977909,3151,1978893,568,1977909,274
2013-07-25,27714,154971,30,2508,1974917,1872,1979175,1311,1978170,342
2013-07-26,18608,188407,21,1882,1979212,3021,1980055,227,1979484,412
2013-07-27,18210,191211,21,1292,1979217,2663,1980377,509,1979217,159
2013-07-20,18212,127404,18,1436,1970234,2556,1975619,1873,1973310,169
2013-07-21,33927,197122,29,2404,1966154,5739,1976048,261,1966154,429
2013-07-22,33335,260479,38,3179,1974086,2762,1977135,413,1975391,251
2013-07-23,33225,280672,38,2596,1977291,2666,1978097,783,1969340,228
2013-03-28,29425,300731,36,2410,1878942,2996,1879696,517,1872340,245
2013-03-29,20141,218139,30,2278,1880290,1803,1880553,428,1876966,194
2013-03-20,37360,263979,42,3262,1870916,2311,1872808,957,1870412,209
2013-03-21,24331,173092,27,1796,1873151,3665,1873961,2152,1868434,248
2013-03-22,36013,333201,44,3098,1873007,2068,1874791,504,1870783,197
2013-03-23,20608,278121,32,2589,1875265,2346,1875549,319,1873759,217
2013-03-24,15473,129883,24,1600,1874729,1430,1876229,689,1873455,191
2013-03-25,33103,288487,40,2740,1873076,2229,1876922,226,1874898,180
2013-03-26,37830,350804,47,4064,1876936,1863,1878106,582,1873976,416
2013-03-27,29843,222543,41,2672,1877543,1886,1879029,810,1877140,197
2012-12-17,42846,281261,47,2992,1790505,2208,1791250,1044,1788206,180
2012-12-16,26157,151446,25,1779,1788646,3727,1790120,923,1788646,197
2012-12-15,22315,127580,22,1851,1787727,2102,1789211,1524,1787727,224
2012-12-14,32908,137521,36,2266,1787765,2442,1788508,1233,1787174,194
2012-12-13,43702,331148,51,3406,1787743,2634,1787987,939,1787015,200
2012-12-12,29961,232438,37,3117,1784861,1979,1786844,931,1780739,316
2012-12-11,40963,257057,46,2975,1784466,1914,1786551,966,1783991,203
2012-12-10,41712,286642,48,3442,1784169,2793,1785162,965,1783484,190
2012-12-19,45505,275565,50,3828,1792259,2428,1793035,613,1789209,309
2012-12-18,26003,192636,29,1880,1790669,3065,1791261,1689,1785061,221
2013-08-30,20609,191202,22,1866,2001691,2668,2002371,795,2001691,253
2013-08-31,6381,102509,9,504,2002333,1380,2002630,754,2002630,142
2012-12-05,33587,214681,35,2281,1778814,2239,1781040,287,1780389,144
2012-12-04,33023,206933,38,2614,1779200,2600,1780468,799,1772924,460
2012-11-08,46329,269225,40,2950,1755522,3317,1758087,992,1757550,178
2012-11-09,28966,178989,31,1957,1746926,2320,1758780,892,1746926,186
2012-11-02,26384,241338,27,2491,1749932,3377,1752530,389,1749932,326
2012-12-08,20081,156604,24,1505,1780765,1881,1783392,564,1775911,167
2013-07-15,33707,274521,36,2518,1966694,4588,1971854,1140,1966694,259
2013-07-14,27940,296709,38,2627,1968113,1819,1970911,728,1963674,200
2013-07-17,47070,282582,41,2944,1970745,4278,1973244,1877,1970745,399
2013-07-16,36175,197132,35,2389,1971789,2664,1972453,1265,1969605,217
2013-07-11,27321,189901,25,1429,1967360,2927,1968824,867,1967360,135
2013-07-10,38103,159716,33,2739,1967291,2221,1967952,1389,1964082,241
2013-07-13,13079,61730,13,962,1968123,1928,1969836,755,1967002,162
2013-07-12,24895,176974,28,2222,1968468,2182,1969389,1668,1967552,180
2013-07-19,26101,165255,26,1965,1971927,3459,1974997,1149,1973580,148
2013-07-18,30636,177968,31,2022,1974022,2727,1974581,298,1973255,172
2013-05-22,24848,187226,33,2424,1926745,1570,1928104,808,1924325,181
2013-05-23,39744,305125,48,4007,1924808,2709,1928808,1010,1924808,205
2013-05-20,28341,250740,41,2702,1924763,2521,1925751,817,1924967,168
2013-03-12,29670,348496,40,2835,1863904,1609,1866079,332,1863748,208
2013-05-26,15800,137007,19,1107,1930343,1840,1930928,456,1930343,169
2013-05-27,22555,285824,35,2189,1931717,1562,1932385,546,1929324,208
2013-05-24,31604,280302,40,2496,1929381,2026,1930010,311,1927573,177
2013-05-25,21126,141700,25,2043,1927079,1998,1930401,211,1927079,341
2013-03-19,30414,355425,43,3334,1869140,1625,1872174,801,1868065,290
2013-03-18,25989,176869,31,2025,1864116,1990,1870943,330,1869581,200
